"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Massachusetts"	"25"	"2002"	"2002"	"Non-Hispanic White"	"6"	231	58313	3.96
	"Massachusetts"	"25"	"2002"	"2002"	"Non-Hispanic Black"	"7"	65	6635	9.80
	"Michigan"	"26"	"1999"	"1999"	"Non-Hispanic White"	"6"	516	91860	5.62
	"Michigan"	"26"	"1999"	"1999"	"Non-Hispanic Black"	"7"	403	23692	17.01
	"Michigan"	"26"	"2000"	"2000"	"Non-Hispanic White"	"6"	551	92552	5.95
	"Michigan"	"26"	"2000"	"2000"	"Non-Hispanic Black"	"7"	403	23872	16.88
	"Michigan"	"26"	"2001"	"2001"	"Non-Hispanic White"	"6"	594	96347	6.17
	"Michigan"	"26"	"2001"	"2001"	"Non-Hispanic Black"	"7"	378	23400	16.15
	"Michigan"	"26"	"2002"	"2002"	"Non-Hispanic White"	"6"	563	93831	6.00
	"Michigan"	"26"	"2002"	"2002"	"Non-Hispanic Black"	"7"	390	22217	17.55
	"Minnesota"	"27"	"1999"	"1999"	"Non-Hispanic White"	"6"	281	50952	5.51
	"Minnesota"	"27"	"1999"	"1999"	"Non-Hispanic Black"	"7"	49	3921	12.50
	"Minnesota"	"27"	"2000"	"2000"	"Non-Hispanic White"	"6"	249	52098	4.78
	"Minnesota"	"27"	"2000"	"2000"	"Non-Hispanic Black"	"7"	62	4378	14.16
	"Minnesota"	"27"	"2001"	"2001"	"Non-Hispanic White"	"6"	245	53141	4.61
	"Minnesota"	"27"	"2001"	"2001"	"Non-Hispanic Black"	"7"	37	4685	7.90
	"Minnesota"	"27"	"2002"	"2002"	"Non-Hispanic White"	"6"	251	52744	4.76
	"Minnesota"	"27"	"2002"	"2002"	"Non-Hispanic Black"	"7"	50	4750	10.53
	"Mississippi"	"28"	"1999"	"1999"	"Non-Hispanic White"	"6"	147	22171	6.63
	"Mississippi"	"28"	"1999"	"1999"	"Non-Hispanic Black"	"7"	276	19398	14.23
	"Mississippi"	"28"	"2000"	"2000"	"Non-Hispanic White"	"6"	159	22879	6.95
	"Mississippi"	"28"	"2000"	"2000"	"Non-Hispanic Black"	"7"	300	19889	15.08
	"Mississippi"	"28"	"2001"	"2001"	"Non-Hispanic White"	"6"	157	22073	7.11
	"Mississippi"	"28"	"2001"	"2001"	"Non-Hispanic Black"	"7"	275	18809	14.62
	"Mississippi"	"28"	"2002"	"2002"	"Non-Hispanic White"	"6"	150	21749	6.90
	"Mississippi"	"28"	"2002"	"2002"	"Non-Hispanic Black"	"7"	263	18191	14.46
	"Missouri"	"29"	"1999"	"1999"	"Non-Hispanic White"	"6"	357	60350	5.92
	"Missouri"	"29"	"1999"	"1999"	"Non-Hispanic Black"	"7"	199	11231	17.72
	"Missouri"	"29"	"2000"	"2000"	"Non-Hispanic White"	"6"	366	60502	6.05
	"Missouri"	"29"	"2000"	"2000"	"Non-Hispanic Black"	"7"	160	11437	13.99
	"Missouri"	"29"	"2001"	"2001"	"Non-Hispanic White"	"6"	349	59514	5.86
	"Missouri"	"29"	"2001"	"2001"	"Non-Hispanic Black"	"7"	181	11087	16.33
	"Missouri"	"29"	"2002"	"2002"	"Non-Hispanic White"	"6"	409	59079	6.92
	"Missouri"	"29"	"2002"	"2002"	"Non-Hispanic Black"	"7"	183	10983	16.66
	"Montana"	"30"	"1999"	"1999"	"Non-Hispanic White"	"6"	50	8954	5.58
	"Montana"	"30"	"2000"	"2000"	"Non-Hispanic White"	"6"	46	8835	5.21
	"Montana"	"30"	"2001"	"2001"	"Non-Hispanic White"	"6"	60	8798	6.82
	"Montana"	"30"	"2002"	"2002"	"Non-Hispanic White"	"6"	64	8967	7.14
	"Nebraska"	"31"	"1999"	"1999"	"Non-Hispanic White"	"6"	107	18851	5.68
	"Nebraska"	"31"	"1999"	"1999"	"Non-Hispanic Black"	"7"	18	1257	14.32 (Unreliable)
	"Nebraska"	"31"	"2000"	"2000"	"Non-Hispanic White"	"6"	125	19200	6.51
	"Nebraska"	"31"	"2000"	"2000"	"Non-Hispanic Black"	"7"	20	1355	14.76
	"Nebraska"	"31"	"2001"	"2001"	"Non-Hispanic White"	"6"	119	19056	6.24
